"Nombre d'incendies suivant les critères de sélection : 21141"
"Critères de sélection =>";"Date de première alerte, de : 2025-01-01 00:00:00";"Date de première alerte, jusqu'à : 2025-12-31 23:59:00";"France entière"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
2025;8953;"83";"83050";"Draguignan";"2025-01-03 08:30:00";1;0;0;0;0;1;;;;;"Estimées";"2";;"Non";;;;""
2025;22375;"974";"97407";"Le Port";"2025-01-03 13:10:00";200;0;;200;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;22412;"974";"97407";"Le Port";"2025-01-03 13:25:00";200;0;;200;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;15;"34";"34259";"Saint-Georges-d'Orques";"2025-01-03 14:33:00";20;0;0;20;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;22374;"974";"97422";"Le Tampon";"2025-01-03 14:55:00";100;0;;100;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;22371;"974";"97404";"L'Étang-Salé";"2025-01-03 14:55:00";20;0;;20;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;122;"66";"66190";"Salses-le-Château";"2025-01-03 16:22:00";4;0;0;0;4;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;7512;"11";"11067";"Canet";"2025-01-03 16:23:00";50;0;0;;0;50;;;;;"Mesurées";;;"Non";0;0;0;""
2025;22372;"974";"97414";"Saint-Louis";"2025-01-03 16:55:00";40000;0;;40000;0;0;;;;;"Estimées";;;"Non";;;;""
2025;22413;"974";"97416";"Saint-Pierre";"2025-01-03 17:25:00";20;0;;20;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;22373;"974";"97414";"Saint-Louis";"2025-01-03 17:25:00";20;0;;20;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;1150;"74";"74154";"Lugrin";"2025-01-03 17:53:00";1;0;;1;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;13958;"84";"84035";"Cavaillon";"2025-01-03 17:55:00";20;0;0;0;0;20;;;;;"Estimées";;"Accidentelle";"Non";;;;""
2025;14;"34";"34254";"Saint-Félix-de-Lodez";"2025-01-03 17:56:00";200;0;0;200;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;13959;"84";"84049";"Gigondas";"2025-01-03 18:01:00";60;60;0;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;264;"57";"57630";"Sarrebourg";"2025-01-03 20:24:48";20;0;;20;0;0;;;;;"Estimées";;;"Non";0;0;0;""
